metodo,dataset,tn,fp,fn,tp,accuracy,precision,recall,f1,roc_auc,mcc,time_fs,model,datasets,malware,benigno
semidroid,adroit,3196.0,222.0,715.0,2703.0,0.8629315389116442,0.924102564102564,0.7908133411351668,0.8522781018445531,0.8629315389116443,0.7335334468076479,36.78689980506897,svm,,,
semidroid,adroit,3138.0,280.0,620.0,2798.0,0.8683440608543007,0.9090318388564004,0.8186073727325922,0.8614532019704434,0.8683440608543007,0.7403601421578669,36.78689980506897,rf,,,
semidroid,adroit,2749.0,669.0,631.0,2787.0,0.8098303101228789,0.8064236111111112,0.815389116442364,0.8108815827756765,0.809830310122879,0.6196989192286014,36.78689980506897,knn,,,
semidroid,androcrawl,9738.0,432.0,784.0,9386.0,0.9402163225172074,0.9559991851700956,0.9229105211406096,0.9391634980988594,0.9402163225172074,0.88096048221511,40.5332133769989,svm,,,
semidroid,androcrawl,9712.0,458.0,766.0,9404.0,0.9398230088495576,0.9535591157980126,0.9246804326450344,0.9388977635782748,0.9398230088495576,0.8800496968746038,40.5332133769989,rf,,,
semidroid,androcrawl,9584.0,586.0,865.0,9305.0,0.9286627335299902,0.940754221008998,0.914945919370698,0.9276706046557998,0.9286627335299902,0.8576482625462094,40.5332133769989,knn,,,
semidroid,android_permissions,5818.0,3259.0,3647.0,5430.0,0.6195879695934781,0.6249280699735298,0.5982152693621241,0.6112799729821007,0.6195879695934781,0.2393947465432032,79.36285614967346,svm,,,
semidroid,android_permissions,5681.0,3396.0,3570.0,5507.0,0.6162829128566707,0.6185555430753679,0.6066982483199295,0.6125695216907675,0.6162829128566707,0.232608567181743,79.36285614967346,rf,,,
semidroid,android_permissions,4821.0,4256.0,3360.0,5717.0,0.5804781315412582,0.5732477689762359,0.6298336454775807,0.6002099737532809,0.5804781315412582,0.1617462088499163,79.36285614967346,knn,,,
semidroid,defensedroid_apicalls_closeness,4955.0,267.0,644.0,4578.0,0.9127728839525088,0.944891640866873,0.8766756032171582,0.9095063077381544,0.9127728839525086,0.8277056093427694,211.3730344772339,svm,,,
semidroid,defensedroid_apicalls_closeness,4967.0,255.0,439.0,4783.0,0.93355036384527,0.9493846764589122,0.9159325928762926,0.9323586744639376,0.93355036384527,0.8676395010249315,211.3730344772339,rf,,,
semidroid,defensedroid_apicalls_closeness,4808.0,414.0,538.0,4684.0,0.9088471849865952,0.9187916830129462,0.8969743393335886,0.9077519379844962,0.9088471849865952,0.8179249992063479,211.3730344772339,knn,,,
semidroid,defensedroid_apicalls_degree,4753.0,469.0,661.0,4561.0,0.8918039065492148,0.9067594433399604,0.873420145538108,0.8897776043698791,0.8918039065492149,0.7841380110962128,209.08412313461304,svm,,,
semidroid,defensedroid_apicalls_degree,4989.0,233.0,429.0,4793.0,0.936614324013788,0.9536410664544368,0.9178475679816164,0.9354020296643248,0.936614324013788,0.8738443854478185,209.08412313461304,rf,,,
semidroid,defensedroid_apicalls_degree,4765.0,457.0,592.0,4630.0,0.8995595557257756,0.910163160998624,0.886633473764841,0.8982442525948201,0.8995595557257755,0.7993862847675731,209.08412313461304,knn,,,
semidroid,defensedroid_apicalls_katz,4906.0,316.0,650.0,4572.0,0.9075067024128688,0.9353518821603928,0.875526618153964,0.9044510385756676,0.9075067024128688,0.8166856076485787,209.258406162262,svm,,,
semidroid,defensedroid_apicalls_katz,4941.0,281.0,448.0,4774.0,0.9301991574109536,0.9444114737883283,0.9142091152815014,0.9290649022088158,0.9301991574109536,0.8608386283634966,209.258406162262,rf,,,
semidroid,defensedroid_apicalls_katz,4806.0,416.0,541.0,4681.0,0.9083684412102644,0.9183833627624092,0.8963998468019916,0.907258455276674,0.9083684412102644,0.8169709736523173,209.258406162262,knn,,,
