metodo,dataset,tn,fp,fn,tp,accuracy,precision,recall,f1,roc_auc,mcc,time_fs,model
semidroid,adroit,5221,419,768,4872,0.8947695035460993,0.9208089208089208,0.8638297872340426,0.8914097520812369,0.8947695035460992,0.791054959760195,56.09477877616882,rf
semidroid,adroit,5094,546,838,4802,0.8773049645390071,0.8979057591623036,0.851418439716312,0.8740444120859119,0.8773049645390071,0.7556233133673392,56.09477877616882,knn
semidroid,androcrawl,58374,2219,4009,56584,0.9486079250078392,0.9622638300766968,0.933837241925635,0.9478374484907368,0.9486079250078392,0.8976076031328243,240.4596650600433,svm
semidroid,androcrawl,58480,2113,3539,57054,0.9533609492845708,0.9642875251407036,0.9415939134883567,0.9528056112224448,0.9533609492845708,0.9069730980263724,240.4596650600433,rf
semidroid,androcrawl,56770,3823,3374,57219,0.9406119518756292,0.937370990465581,0.9443170003135676,0.9408311752373906,0.9406119518756292,0.8812480985453623,240.4596650600433,knn
semidroid,android_permissions,8003,4447,4621,7829,0.6358232931726908,0.6377484522645813,0.6288353413654618,0.6332605354687374,0.6358232931726907,0.2716731200369958,106.67830681800842,svm
semidroid,android_permissions,8357,4093,4770,7680,0.6440562248995984,0.6523401002293383,0.6168674698795181,0.6341080790983776,0.6440562248995984,0.2885393585924486,106.67830681800842,rf
semidroid,android_permissions,9215,3235,6710,5740,0.6006024096385543,0.6395543175487465,0.4610441767068273,0.5358226371061844,0.6006024096385542,0.2095322039322915,106.67830681800842,knn
semidroid,defensedroid_apicalls_closeness,3488,190,509,3169,0.9049755301794452,0.9434355462935398,0.8616095704187058,0.900667898252096,0.9049755301794452,0.8130147544463372,172.9451310634613,svm
semidroid,defensedroid_apicalls_closeness,3550,128,339,3339,0.9365144100054378,0.9630804730314392,0.9078303425774876,0.9346396081175647,0.9365144100054378,0.8744689896365238,172.9451310634613,rf
semidroid,defensedroid_apicalls_closeness,3420,258,413,3265,0.9087819467101684,0.926766959977292,0.887710712343665,0.9068184974309124,0.9087819467101688,0.8182908535654125,172.9451310634613,knn
semidroid,defensedroid_apicalls_degree,3346,332,489,3189,0.8883904295812942,0.9057086055097984,0.867047308319739,0.8859563828309488,0.8883904295812942,0.7774895199003559,171.0791802406311,svm
semidroid,defensedroid_apicalls_degree,3535,143,333,3345,0.9352909189777052,0.9590022935779816,0.9094616639477976,0.9335752162991906,0.9352909189777052,0.8717457861293508,171.0791802406311,rf
semidroid,defensedroid_apicalls_degree,3393,285,442,3236,0.901169113648722,0.919057086055098,0.879825992387167,0.8990137519099874,0.9011691136487222,0.8030702041392895,171.0791802406311,knn
semidroid,defensedroid_apicalls_katz,3443,235,476,3202,0.9033442088091354,0.9316264183881292,0.8705818379554106,0.9000702740688686,0.9033442088091354,0.8084257691459551,171.27617502212524,svm
semidroid,defensedroid_apicalls_katz,3519,159,351,3327,0.9306688417618272,0.9543889845094664,0.904567699836868,0.9288107202680068,0.9306688417618272,0.8625136939858827,171.27617502212524,rf
semidroid,defensedroid_apicalls_katz,3374,304,420,3258,0.9015769439912996,0.914654688377316,0.8858075040783034,0.9,0.9015769439912996,0.8035536351929692,171.27617502212524,knn
semidroid,defensedroid_prs,3986,214,484,3716,0.916904761904762,0.9455470737913486,0.8847619047619047,0.9141451414514146,0.916904761904762,0.8355378051891843,175.24604177474976,svm
semidroid,defensedroid_prs,4001,199,479,3721,0.9192857142857144,0.949234693877551,0.8859523809523809,0.9165024630541873,0.9192857142857144,0.8404411553710345,175.24604177474976,rf
semidroid,defensedroid_prs,3872,328,536,3664,0.8971428571428571,0.9178356713426854,0.8723809523809524,0.89453125,0.8971428571428572,0.7952615452843076,175.24604177474976,knn
semidroid,drebin_215,6530,103,328,6305,0.9675109301974972,0.9839263420724096,0.950550278908488,0.9669503872402424,0.9675109301974972,0.9355602687623898,86.2126636505127,svm
semidroid,drebin_215,6548,85,181,6452,0.979948741142771,0.9869970934679516,0.9727121965927936,0.9798025816249052,0.979948741142771,0.9599980330933012,86.2126636505127,rf
semidroid,drebin_215,6320,313,190,6443,0.9620835217850144,0.9536708111308466,0.9713553444896728,0.9624318470386138,0.9620835217850144,0.9243259797359232,86.2126636505127,knn
semidroid,kronodroid_real_device,28201,766,1229,27738,0.9655642627817862,0.9731265787257928,0.9575724099837748,0.9652868403194654,0.9655642627817864,0.931247490178698,530.4314460754395,svm
